工位	工序	不良分组名称
ASSY来料目检1 2045#	ASSY来料目检1	PIC不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
AA目检 3137#	AA目检	外观不良_Scrap
ASSY来料目检1 1131#	ASSY来料目检1	金线不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
AA目检 3126#	AA目检	外观不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	金线不良_Scrap
ASSY来料目检1 2057#	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
AA目检 3137#	AA目检	元器件不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	PIC不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	PIC不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	外观不良_Scrap
AA目检 3138#	AA目检	金线不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	金线不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2045#	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2045#	ASSY来料目检1	PIC不良_Scrap
ASSY来料目检1 2045#	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2045#	ASSY来料目检1	PIC不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2045#	ASSY来料目检1	PIC不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	来料不良_Scrap
ASSY来料目检1 2045#	ASSY来料目检1	PIC不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	PIC不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
AR片组装 2060#	AR片组装	PIC不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
ASSY来料目检1 2103#产业园	ASSY来料目检1	外观不良_Scrap
AA目检 3126#	AA目检	外观不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 1091#	ASSY来料目检1	芯片不良_Scrap
ASSY来料目检1 2045#	ASSY来料目检1	PIC不良_Scrap
