不良原因	不良归属
光口脏污	材料
来料PIC光口脏污	材料
来料PIC光口脏污	材料
来料PIC光口脏污	材料
来料芯片破损	材料
来料PIC光口脏污	材料
来料芯片破损	材料
来料芯片破损	材料
来料芯片破损	材料
来料芯片破损	材料
来料芯片破损	材料
来料芯片破损	材料
来料PIC光口脏污	材料
来料PIC光口脏污	材料
高速线断裂	生产
金线压伤	材料
PIC光口破损NG	生产
来料PIC光口脏污	材料
芯片破损	材料
高速线断裂	生产
来料PIC破损	材料
PIC 破损	材料
芯片破损	生产
芯片破损	生产
芯片划伤	生产
来料PIC破损	材料
芯片划伤	生产
芯片划伤	生产
芯片破损	生产
芯片破损	生产
芯片破损	生产
芯片破损	生产
金线线断	生产
来料PIC光口脏污	材料
PIC光口破损NG	生产
来料芯片压伤	生产
来料芯片破损	生产
IC破损	生产
来料芯片破损	生产
芯片划伤	生产
PIC划伤	生产
来料元器件撞件	生产
来料PIC光口脏污	材料
来料PIC光口脏污	材料
芯片破损	生产
芯片划伤	生产
PIC划伤	生产
PIC光口破损NG	生产
金线线断	生产
金线压伤	生产
来料PIC光口脏污	材料
来料PIC光口破损	材料
光口脏污	制工
来料PIC光口破损	制工
光口脏污	材料
来料PIC光口脏污	材料
PIC裂纹	材料
来料芯片破损	材料
光口脏污	材料
PIC划伤	生产
来料PIC光口脏污	材料
光口脏污	材料
来料PIC光口脏污	材料
来料PIC光口脏污	材料
来料PIC光口脏污	材料
来料PIC光口脏污	材料
高速线断裂	生产
芯片破损	材料
芯片破损	材料
光口脏污	材料
来料PIC光口脏污	材料
来料PIC光口脏污	材料
来料PIC光口破损	生产
来料PIC光口破损	生产
芯片划伤	生产
来料芯片破损	生产
来料芯片破损	生产
来料芯片压伤	生产
来料芯片破损	生产
来料PIC光口破损	生产
RX filed lens破损	生产
芯片划伤	生产
来料芯片破损	生产
金线线断	生产
金线线断	生产
来料芯片破损	生产
来料PIC光口脏污	材料
来料元器件撞件	生产
金线压伤	生产
来料PIC光口脏污	材料
光口脏污	材料
来料PIC光口脏污	材料
来料PIC光口脏污	材料
来料PIC光口脏污	材料
来料PIC光口脏污	材料
PIC脏污	材料
来料芯片破损	材料
金线少线	生产
PCBA元器件撞件	生产
芯片划伤	材料
芯片划伤右	生产
