主观能动	做事原则	知识接受	岗位创新	团队协作	工作效率	工作态度	操作质量	异常处理	问题发现	技能掌握	执行力度	工作纪律	品质意识	表达能力	与人交际	岗位出勤	士气鼓舞
9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9
9	9	9	8	9	9	9	9	9	8	9	9	9	9	9	9	8	9
7	8	9	7	8	8	8	9	8	7	8	8	9	7	8	9	6	8
8	9	9	7	8	8	8	8	8	8	9	9	9	8	8	9	8	9
9	9	9	8	9	9	9	9	9	9	9	9	9	8	9	9	9	9
8	9	9	8	8	8	9	9	8	8	9	9	9	8	9	9	8	9
9	9	9	8	9	9	8	9	9	9	9	9	9	8	9	9	9	9
9	9	9	8	9	9	9	9	9	9	9	9	9	8	9	9	9	9
8	9	9	7	8	8	8	9	8	8	9	9	9	8	8	9	8	9
8	9	9	7	8	8	9	9	8	8	9	9	9	8	8	9	8	9
8	9	9	8	9	9	9	9	9	8	9	9	9	8	9	9	9	9
8	9	9	7	8	9	8	9	9	8	9	9	9	8	8	9	9	9
8	9	9	7	8	8	8	9	8	7	9	9	9	8	8	9	8	9
9	9	9	8	9	9	9	9	9	8	9	9	9	8	9	9	9	9
9	9	9	8	9	9	9	9	9	8	9	9	9	9	9	9	9	9
9	9	9	8	9	9	9	9	9	8	9	9	9	9	9	9	9	9
8	8	8	8	8	9	8	9	8	8	9	8	9	8	8	9	9	8
7	8	8	7	8	8	8	9	7	7	8	8	9	7	8	8	7	8
7	9	8	8	8	8	8	9	7	7	9	9	9	8	9	9	8	9
7	8	9	7	8	8	9	9	8	7	9	9	9	7	9	9	8	9
8	9	9	8	9	9	9	9	8	8	9	9	9	8	9	9	9	9
7	8	9	7	8	8	9	9	8	7	8	9	9	7	7	9	7	8
9	9	9	8	9	9	9	9	9	8	9	9	9	9	9	9	9	9
7	8	9	8	8	8	8	9	7	7	9	8	9	8	8	9	8	8
8	8	8	8	8	8	8	9	8	7	9	9	9	8	8	9	9	8
9	9	9	8	9	9	9	9	8	8	9	9	9	8	9	9	9	9
9	9	9	8	9	9	9	9	8	8	9	9	9	8	9	9	9	9
8	9	9	8	8	8	9	9	8	8	9	9	9	8	9	9	9	8
7	8	8	7	8	8	8	8	7	7	7	8	9	7	8	9	9	8
7	7	8	7	7	8	8	8	7	5	7	8	9	5	7	8	9	7
9	9	9	8	9	9	9	9	9	8	9	9	9	9	9	9	8	9
7	8	9	8	8	8	8	9	8	7	7	9	9	7	7	9	7	8
8	8	8	8	8	8	9	9	8	7	9	9	9	7	8	9	9	8
8	8	9	8	8	9	8	9	8	7	8	9	9	8	8	8	9	8
9	9	9	8	9	9	9	9	8	8	9	9	9	8	9	9	9	9
8	9	9	8	9	9	9	9	7	8	8	9	9	8	9	9	9	9
7	8	8	7	8	8	8	8	7	7	7	9	9	7	8	9	8	8
8	9	9	8	9	9	8	9	8	8	8	9	9	8	9	9	9	9
7	8	8	7	9	8	9	9	7	7	7	9	9	7	8	9	9	8
9	9	9	8	8	8	8	9	9	7	9	8	9	8	9	9	9	9
9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9
7	7	8	7	8	8	8	9	7	7	8	9	9	7	8	8	7	8
9	9	9	8	9	8	9	9	8	8	9	9	9	8	9	9	8	9
8	8	9	7	8	8	8	9	8	8	9	9	9	8	8	9	9	9
8	9	9	7	8	8	9	9	8	7	9	9	9	7	8	9	8	9
8	9	9	8	8	8	9	9	8	8	9	9	9	8	9	9	9	8
7	9	8	8	8	8	8	9	8	8	9	9	9	8	8	9	8	8
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9
9	9	9	8	8	9	9	9	8	8	9	9	9	8	9	9	8	9
8	9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	9	9
7	9	8	7	8	9	8	8	7	8	8	9	9	8	9	9	9	8
5	5	5	3	4	6	5	5	3	3	3	6	7	5	4	5	5	5
