序号	制程段	关键工序	工序
1	TX COC	物料分取_TX COC	芯片分取
2	TX COC	物料分取目检_TX COC	芯片分取后目检
3	TX COC	物料分取_TX COC	RF SM分取
4	TX COC	物料分取_TX COC	RF SM分取后目检
5	TX COC	激光打标目检_TX COC	打标后目检
6	TX COC	Gold-Tin目检_TX COC	Chip to LD Submount目检
7	TX COC	Gold-Tin目检_TX COC	Gold-Tin目检 
8	TX COC	Gold-Tin目检_TX COC	GT来料目检1 1189#二楼
9	TX COC	Gold-Tin目检_TX COC	GT来料目检1
10	TX COC	Gold-Tin目检_TX COC	热敏电阻焊接目检
11	TX COC	WB目检_TX COC	TX_WB目检
12	TX COC	SN识别_TX COC	SN识别
13	TX COC	Burn In_TX COC	Burn in 上料
14	TX COC	Burn In_TX COC	Burn In 下料
15	TX COC	Burn In_TX COC	COC COC Burn In
16	TX COC	Burn In_TX COC	COC Burn In
17	TX COC	Burn In_TX COC	BI写工单
18	TX COC	目检-TX COC	COC 成品目检
19	TX COC	入库-TX COC	出货入库
20	CB	进料检验目检_CB	来料目检1
21	CB	进料检验目检_CB	来料目检2
22	CB	进料检验目检_CB	来料目检3
23	CB	进料检验目检_CB	来料目检4
24	CB	进料检验目检_CB	来料目检5
25	CB	PCBA信息录入_CB	PCBA信息录入
26	CB	FW & DSP Loading_CB	FW Loading
27	CB	FW & DSP Loading_CB	FW loading(DSP)
28	CB	Cut PCBA_CB	激光分板
29	CB	Cut PCBA目检_CB	激光分板目检
30	CB	Cut PCBA目检_CB	PCBA 激光分板目检
31	CB	Cut PCBA_CB	PCBA清洁
32	CB	热沉贴装_CB	热沉贴装
33	CB	热沉贴装_CB	热沉测量
34	CB	热沉贴装_CB	热沉补强
35	CB	热沉贴装_CB	ALN热沉灌胶
36	CB	热沉贴装目检_CB	灌胶目检1
37	CB	热沉贴装目检_CB	热沉目检
38	CB	热沉贴装目检_CB	热沉目检2
39	CB	PCBA TO Housing_CB	胶带贴装
40	CB	PCBA TO Housing目检_CB	PCBA to housing 组装
41	CB	PCBA TO Housing目检_CB	Housing组装后目检
42	CB	盖板组装_CB	金属盖板组装
43	CB	DA来料目检_CB	DA来料目检1
44	CB	DA_CB	DA贴装1
45	CB	DA_CB	DA贴装测量1
46	CB	DA目检_CB	DA贴装目检1
47	CB	DA_CB	DA贴装2
48	CB	DA_CB	DA贴装测量2
49	CB	DA目检_CB	DA贴装目检2
50	CB	DA_CB	DA贴装3
51	CB	DA_CB	DA贴装测量3
52	CB	DA目检_CB	DA贴装目检3
53	CB	DA_CB	DA贴装4
54	CB	DA_CB	DA贴装测量4
55	CB	DA目检_CB	DA贴装目检4
56	CB	DA_CB	DA贴装5
57	CB	DA_CB	DA贴装测量5
58	CB	DA目检_CB	DA完成品目检
59	CB	DA_CB	FA垫块贴装
60	CB	DA_CB	垫块尺寸测量
61	CB	DA目检_CB	FA垫块目检
62	CB	DA_CB	PD TO TIA点胶
63	CB	DA目检_CB	PD TO TIA点胶目检
64	CB	DA_CB	PD TO TIA烘烤后目检
65	CB	DA_CB	TEC贴装
66	CB	DA目检_CB	TEC垫块目检
67	CB	DA_CB	COC贴装
68	CB	DA_CB	COC尺寸测量
69	CB	DA_CB	COC to CB SN识别绑定
70	CB	DA目检_CB	DA COC目检
71	CB	热敏电阻贴装_CB	热敏电阻贴装目检
